SERIALNUMBER,PRODUCTCODE,License Description,VERSION,TYPE
1056635-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056636-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056637-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056638-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056639-1,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,CD
1056640-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056641-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056642-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056643-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056644-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056645-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056646-0,01-2224TF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,CD
1056647-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056648-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056649-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056650-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056651-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056652-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056653-0,01-2222TF,InTouch Runtime for TSE 1K Tag without I/O - Failover,10.0,CD
1108699-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1108700-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1108701-0,01-2224TF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,CD
1108702-0,01-2224TF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,CD
1329139-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
605976-2,12-6280,InBatch Premier Edition - Large,8.1,Floppy
605977-4,62-0075,InBatch Premier Edition - Medium,8.1,CD
757710-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
757711-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
757712-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
757713-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
757714-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
757715-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
757716-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
994988-0,12-6332T,InBatch Premier Terminal Services Client Upgd,8.1,CD
994989-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994990-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994991-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994992-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994993-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994994-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994995-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994996-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994997-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994998-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
994999-0,12-6332TP,InBatch Premier Terminal Services Client Upgd,8.1,Paper
585578-3,17-0472,WW Hisotian - Standard 25K Tag,9.0,CD
982397-0,09-0023,Information Server Portal,3.0,CD
585579-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
585580-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
585581-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
585582-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
585583-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
588755-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
588756-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
588757-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
588876-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
588877-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
588878-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
605978-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
605979-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
605980-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
605981-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
605982-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
605983-1,17-0434,WW Basic CAL - Single License with MS SQL Server CAL,,Paper
902330-2,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
902331-2,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
902332-2,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
902333-2,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
902334-2,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
902335-2,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
902336-2,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
902337-2,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
902338-3,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
902339-3,12-0442,WW Basic CAL - Single License without MS SQL Server CAL,,Paper
729461-1,12-9010T,ActiveFactory Per Seat/Session,8.5,CD
995000-1,12-9290,Active Factort Per Named User,9.2,CD
995001-1,12-9290,Active Factort Per Named User,9.2,CD
995002-1,12-9290,Active Factort Per Named User,9.2,CD
995003-1,12-9290,Active Factort Per Named User,9.2,CD
995004-1,12-9290,Active Factort Per Named User,9.2,CD
995005-1,12-9290,Active Factort Per Named User,9.2,CD
995006-1,12-9290,Active Factort Per Named User,9.2,CD
995007-1,12-9290,Active Factort Per Named User,9.2,CD
995008-1,12-9290,Active Factort Per Named User,9.2,CD
995009-1,12-9290,Active Factort Per Named User,9.2,CD
995010-1,12-9290,Active Factort Per Named User,9.2,CD
995011-1,12-9290,Active Factort Per Named User,9.2,CD
